name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sao Paulo,Brazil",2015-10-18,18.6,15.2,16.5,18.6,15.2,16.5,13.3,81.5,0,0,0,,,,55.4,24.7,139.1,1024,96,8.7,194.2,16.1,6,,2015-10-18T06:31:15,2015-10-18T19:12:39,0.19,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-10-19,25.7,15.1,18.9,25.7,15.1,18.9,14.9,79,0,0,0,,,,31.7,19.3,115.5,1020.6,88.1,8.4,297.7,24.7,10,,2015-10-19T06:30:24,2015-10-19T19:13:07,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-10-20,35,18,26.1,35.5,18,26.2,16.2,59.4,0,0,0,,,,31.7,19.7,12.7,1015.9,57.7,9.5,323.4,26.7,10,,2015-10-20T06:29:34,2015-10-20T19:13:36,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-10-21,31.3,21.2,25.9,31.2,21.2,25.9,16.3,57.2,0.1,100,4.17,rain,,,44.6,28.1,342.2,1015.4,60,9.2,289.5,24,10,,2015-10-21T06:28:45,2015-10-21T19:14:04,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-10-22,21.5,18.5,20.1,21.5,18.5,20.1,16.9,82,3.7,100,8.33,rain,,,48,25,105.8,1016.5,62.6,8.6,249.6,20.6,9,,2015-10-22T06:27:56,2015-10-22T19:14:34,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-10-23,26.5,17.9,20.8,26.5,17.9,20.8,16,75,16,100,4.17,rain,,,,26.1,188.7,1018,70.7,9.2,188.8,15.6,6,,2015-10-23T06:27:09,2015-10-23T19:15:04,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-10-24,20.8,16.5,18.1,20.8,16.5,18.1,14.8,81.4,0.1,100,4.17,rain,,,,26.5,133.7,1021.9,93.1,9.1,218.4,17.9,7,,2015-10-24T06:26:22,2015-10-24T19:15:34,0.4,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-10-25,18.6,16,17.3,18.6,16,17.3,14.5,83.8,0,0,0,,,,,20,129.9,1021.9,99,8.6,212.4,17.5,6,,2015-10-25T06:25:36,2015-10-25T19:16:05,0.43,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-10-26,28.1,16,20.5,29.3,16,20.7,16.7,79.8,0.1,100,4.17,rain,,,,18.8,111.3,1019.2,69.8,8.1,208.3,17.2,7,,2015-10-26T06:24:51,2015-10-26T19:16:36,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-10-27,28,19,21.6,29,19,21.7,17.9,80.2,0.1,100,4.17,rain,,,,22.5,125.5,1017.1,87,7.1,255.6,21.2,9,,2015-10-27T06:24:08,2015-10-27T19:17:08,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
